,CB_company_uuid,legal_name,domain,city,status,category_groups_list,num_funding_rounds,total_funding_usd,total_funding,founded_on,last_funding_on,employee_count,raised_amount_usd,acquiree_name,acquirer_name,acquired_on,went_public_on,valuation_price_usd,valuation_price,money_raised_usd,money_raised,CB_people_uuid,person_name,started_on,ended_on,is_current,title,job_type,first_name,last_name,gender,facebook_url,linkedin_url,twitter_url,facebook_url_exists,linkedin_url_exists,twitter_url_exists
12201,20f37b8f-342d-a7bf-b1ae-a65f4227d281,"Traxo, Inc.",traxo.com,Dallas,operating,"Data and Analytics,Information Technology,Sales and Marketing,Software,Travel and Tourism",7.0,24340000.0,24340000.0,2008-04-01,2019-11-19,11-50,24340000.0,,,,,,,,,c61a1c8b-c946-c7d8-3875-7feccd74e715,Andy Chen,2008-04-01,2013-09-01,False,Co-Founder & President,executive,Andy,Chen,male,https://www.facebook.com/andy.d.chen,https://www.linkedin.com/in/andychen,https://twitter.com/andydarko,1,1,1
396,678fba1e-90af-eb84-8a13-a8f1512d88d5,"PowerReviews, Inc.",powerreviews.com,Chicago,acquired,"Commerce and Shopping,Data and Analytics,Software",9.0,85772976.0,85772976.0,2005-01-01,2020-10-30,101-250,85772976.0,PowerReviews,Bazaarvoice,2012-05-24,,,,,,9ecec56b-bb75-5d72-3dad-7ae1ce2a45bf,Robert Chea,,,False,Founder & COO,executive,Robert,Chea,male,,http://www.linkedin.com/in/robertchea,,0,1,0
399,7eb5e674-2d03-b456-211f-cf08e24a4150,Ifwe Inc.,themeetgroup.com,San Francisco,acquired,"Internet Services,Media and Entertainment,Other",5.0,28701975.0,28701975.0,2004-10-01,2012-08-22,101-250,28701975.0,if(we),MeetMe,2017-03-06,,,,,,d248cdaf-d292-9caf-d2a9-f7c56a4500e7,Greg Tseng,2005-04-01,2015-12-11,False,Co-Founder & Chief Executive Officer & Chairman Of The Board,executive,Greg,Tseng,male,,http://www.linkedin.com/in/gregtseng,http://twitter.com/gregtseng,0,1,1
400,7eb5e674-2d03-b456-211f-cf08e24a4150,Ifwe Inc.,themeetgroup.com,San Francisco,acquired,"Internet Services,Media and Entertainment,Other",5.0,28701975.0,28701975.0,2004-10-01,2012-08-22,101-250,28701975.0,if(we),MeetMe,2017-03-06,,,,,,d507f15d-42a6-8a4e-4ad6-decc7854d266,Johann Schleier-Smith,2004-10-01,2017-04-03,False,Co-Founder & Chief Technology Officer & Board Member,executive,Johann,Schleier-Smith,male,https://www.facebook.com/jssmith01,https://www.linkedin.com/in/jssmith,https://twitter.com/jssmith,1,1,1
405,d8dc6884-9a50-f5c1-ea54-a2e601463871,"UpCounsel, Inc.",upcounsel.com,San Francisco,acquired,"Commerce and Shopping,Information Technology,Other,Professional Services",8.0,29962352.0,29962352.0,2012-04-01,2021-12-10,101-250,29962352.0,UpCounsel,Enduring Ventures,2020-04-02,,,,,,ce5adccb-52e4-a8ef-cf62-6404a9802236,Touraj Parang,2013-02-01,2015-02-01,False,Founding COO & Advisor,executive,Touraj,Parang,male,http://www.facebook.com/tparang,http://www.linkedin.com/in/tparang,http://twitter.com/touraj,1,1,1
426,68b70581-7c8f-5758-a598-5d2f7de5f630,"Upwave, Inc.",upwave.com,San Francisco,operating,"Advertising,Data and Analytics,Design,Sales and Marketing",5.0,28717000.0,28717000.0,2012-01-01,2018-07-26,51-100,28717000.0,,,,,,,,,3e5ea796-58db-8a3d-6dea-196cd949ca0b,Chris Kelly,2012-05-01,,True,CEO & Co-Founder,executive,Chris,Kelly,male,http://www.facebook.com/christopherkelly,http://www.linkedin.com/in/christopherkelly,http://twitter.com/chriskelly,1,1,1
450,a1de2b6d-1f8e-9b4a-339d-4fcd3ef031f6,"Threefold Photos, Inc.",threefoldphotos.com,Corte Madera,closed,"Community and Lifestyle,Content and Publishing,Media and Entertainment,Video",2.0,9500000.0,9500000.0,2012-01-01,2013-12-19,1-10,9500000.0,,,,,,,,,c9fb996f-aae7-d8c5-2bfd-4a4e33bfa0c3,Mike Sitrin,2012-01-01,2014-01-01,False,Co-Founder & President,executive,Mike,Sitrin,male,https://www.facebook.com/msitrin,https://www.linkedin.com/in/msitrin,https://twitter.com/msitrin,1,1,1
455,e84e93ea-a32f-cc22-e3d8-a44fe89764f8,"Fandom, Inc.",fandom.com,San Francisco,operating,"Community and Lifestyle,Gaming,Media and Entertainment",8.0,145443180.0,145443180.0,2004-01-01,2018-06-01,251-500,145443180.0,,,,,,,,,67f1cb7e-889a-d6db-3377-909f5e6fe7e0,Jimmy Wales,,,False,Co - Founder,employee,Jimmy,Wales,male,http://www.facebook.com/jimmywalesfans,http://www.linkedin.com/pub/jimmy-wales/0/a8b/919,http://twitter.com/jimmy_wales,1,1,1
456,e84e93ea-a32f-cc22-e3d8-a44fe89764f8,"Fandom, Inc.",fandom.com,San Francisco,operating,"Community and Lifestyle,Gaming,Media and Entertainment",8.0,145443180.0,145443180.0,2004-01-01,2018-06-01,251-500,145443180.0,,,,,,,,,ae3922c2-053c-ac7b-6e55-40bdd6d61551,Angela Starling,2004-01-01,2012-01-01,False,Co-Founder,executive,Angela,Starling,female,http://www.facebook.com/wikiangela,http://www.linkedin.com/in/AngelaStarling,http://twitter.com/WikiAngela,1,1,1
459,3b3ce0e7-271a-b55d-e801-9dbfd5c31335,"JoyRun, Inc.",joyrun.com,Santa Clara,acquired,"Administrative Services,Apps,Food and Beverage,Mobile,Software",3.0,9800000.0,9800000.0,2014-01-01,2017-03-30,11-50,9800000.0,JoyRun,Walmart,2020-11-23,,,,,,2faf2043-268c-79ae-af0f-38c42e64116d,Manish Rathi,2014-11-01,,True,"Dreamer, Doer, Founder & CEO",executive,Manish,Rathi,male,,https://www.linkedin.com/in/rathi,https://twitter.com/manishrathi,0,1,1
466,a367b036-5952-5435-7541-ad7ee8869e24,"Tesla, Inc.",tesla.com,Austin,ipo,"Consumer Electronics,Hardware,Transportation",36.0,20182508761.0,20182508761.0,2003-01-01,2020-05-09,10000+,20182508761.0,,,,2010-06-29,,,226000000.0,226000000.0,d3326bcc-6d25-9214-60c7-1e95c5f2f2a1,Elon Musk,2003-01-01,,True,"Co-Founder, Product Architect & CEO",employee,Elon,Musk,male,,,http://twitter.com/elonmusk,0,0,1
515,c4968190-602d-1245-8d29-ee1fbad27668,"Fitmob, Inc.",fitmob.com,San Francisco,acquired,"Community and Lifestyle,Health Care,Sports",3.0,14800000.0,14800000.0,2013-06-01,2015-01-06,11-50,14800000.0,fitmob,ClassPass,2015-04-23,,,,,,fc77fb63-0759-6e16-d896-e921fef8d412,Raj Kapoor,,,False,CEO & Co-founder,executive,Raj,Kapoor,male,http://www.facebook.com/rajilk,http://www.linkedin.com/in/rajil,http://twitter.com/Rajil,1,1,1
